     3537     5.20000
    -0.155940   -0.621644    2.519770
    -0.626722   -1.018711    2.308560
    -0.660898   -0.503322    2.463713
    -0.741237   -1.539142    1.960002
    -1.092822   -1.129793    2.071064
    -1.143531   -1.646796    1.655415
    -0.921703   -2.037049    1.326987
    -1.164296   -2.159542    0.860693
    -1.021126   -2.353609    0.421696
     0.201725   -3.148304   -0.381786
     0.211250   -2.860153   -1.368638
     0.259295   -2.566046   -1.856461
     0.658158   -2.240236   -2.155561
     0.172007   -2.199664   -2.286955
     0.716540   -1.755422   -2.550164
     0.200341   -1.757030   -2.640261
     0.707415   -0.893302   -2.966454
     0.396811   -1.317466   -2.864454
     0.294119   -0.498782   -3.124577
     0.056281   -0.943062   -3.034096
    -0.249177   -0.330207   -3.150737
    -0.451581   -0.905711   -3.012314
    -0.778866   -1.242265   -2.819294
    -0.234961   -1.455798   -2.814910
    -0.700093   -1.741321   -2.564360
    -0.272055   -2.004304   -2.450923
    -0.605745   -2.262621   -2.147532
    -0.235959   -2.555368   -1.874217
    -0.356077   -2.867124   -1.323284
    -0.138325   -3.049908   -0.881588
     0.466759   -3.004601   -0.923462
     0.703562   -2.648809   -1.608441
     1.117033   -2.185777   -2.018140
     1.217490   -1.737546   -2.365782
     1.049024   -1.316298   -2.695400
     1.223564   -0.836031   -2.811088
     1.165246   -0.335862   -2.937290
     0.698044   -0.237820   -3.091027
     0.822375    0.258346   -3.058632
     0.351572    0.485290   -3.120763
     0.092260    0.045448   -3.176113
    -0.311827    0.415411   -3.135039
    -0.741410    0.146672   -3.086595
    -0.724816   -0.451062   -3.060957
    -1.159183   -0.215869   -2.950927
    -1.162294   -0.770737   -2.855400
    -1.260138   -1.267780   -2.627367
    -1.177600   -1.752784   -2.374717
    -1.090358   -2.201524   -2.015610
    -0.719042   -2.618374   -1.650869
    -0.339264   -3.139626   -0.354855
     0.779159   -3.040016   -0.499482
     1.199551   -2.500299   -1.551726
     1.579438   -1.918727   -1.980438
     1.587694   -1.321740   -2.414643
     1.689548   -0.798664   -2.570182
     1.669538   -0.272749   -2.690078
     1.399444    0.154072   -2.848875
     1.237400    0.623254   -2.859837
     0.812611    0.863103   -2.948387
     0.381870    1.108157   -2.953715
    -0.050103    0.867640   -3.056626
    -0.423989    1.192994   -2.914664
    -0.726278    0.797650   -2.989071
    -1.144071    0.585342   -2.906329
    -1.441829    0.205834   -2.824364
    -1.652839   -0.279130   -2.699719
    -1.663363   -0.795807   -2.588086
    -1.682657   -1.343260   -2.337218
    -1.546637   -1.908488   -2.015901
    -1.223837   -2.503526   -1.527368
    -0.758536   -3.008507   -0.686863
     0.960848   -2.806199   -1.140303
     1.640477   -2.240922   -1.544466
     1.912648   -1.561126   -2.000733
     2.044197   -1.010754   -2.213121
     2.086082   -0.399322   -2.363699
     1.936202    0.179844   -2.513374
     1.722543    0.663079   -2.586782
     1.386714    1.105837   -2.636744
     0.957341    1.379760   -2.697783
     0.491986    1.586879   -2.708881
    -0.005126    1.542203   -2.778463
    -0.508881    1.660783   -2.661036
    -0.949183    1.353855   -2.713743
    -1.348219    1.063353   -2.673921
    -1.693885    0.672918   -2.603115
    -1.942592    0.188225   -2.507823
    -2.075523   -0.383636   -2.375563
    -2.055429   -0.971986   -2.220074
    -1.942249   -1.615400   -1.927803
    -1.644047   -2.216424   -1.575705
    -0.938323   -2.808253   -1.153921
     1.286112   -2.807278   -0.750587
     2.044219   -1.937124   -1.472070
     2.282483   -1.316929   -1.776018
     2.382367   -0.674743   -1.991814
     2.353721   -0.016756   -2.134944
     2.194777    0.559704   -2.228892
     1.902602    1.084116   -2.302840
     1.513553    1.522392   -2.343022
     1.045742    1.820054   -2.385812
     0.530459    2.006002   -2.406832
     0.000285    2.023529   -2.450225
    -0.542282    2.054572   -2.362824
    -1.057137    1.804428   -2.392650
    -1.505009    1.491912   -2.367998
    -1.886898    1.081634   -2.316885
    -2.183382    0.576827   -2.235707
    -2.353550   -0.005548   -2.135191
    -2.388096   -0.646822   -1.994215
    -2.284813   -1.286563   -1.795175
    -2.057821   -1.951373   -1.433802
    -1.313860   -2.786205   -0.780452
     1.646913   -2.495970   -1.075213
     2.412495   -1.573326   -1.342678
     2.592236   -0.964190   -1.564903
     2.651238   -0.364944   -1.713483
     2.589199    0.274661   -1.821780
     2.368399    0.899709   -1.918198
     2.036968    1.433632   -1.973254
     1.612313    1.868637   -2.001728
     1.112271    2.174413   -2.032991
     0.565634    2.356185   -2.055899
     0.002536    2.401052   -2.081637
    -0.571871    2.384378   -2.021380
    -1.122767    2.164859   -2.037413
    -1.614664    1.847678   -2.019212
    -2.034449    1.425679   -1.981597
    -2.364597    0.907681   -1.919131
    -2.585367    0.289919   -1.824855
    -2.656039   -0.352907   -1.708562
    -2.594655   -0.953216   -1.567615
    -2.418414   -1.558191   -1.349661
    -1.665819   -2.477620   -1.088448
     1.727354   -2.620339   -0.498337
     2.424869   -1.851646   -0.888645
     2.818769   -0.916069   -1.146138
     2.864403   -0.128328   -1.370037
     2.742495    0.583723   -1.495412
     2.502645    1.187990   -1.556830
     2.155346    1.706962   -1.593435
     1.712551    2.134031   -1.615968
     1.188073    2.446172   -1.644079
     0.608666    2.633874   -1.670481
     0.001366    2.691314   -1.689704
    -0.612865    2.649378   -1.644221
    -1.192125    2.441679   -1.647821
    -1.712063    2.122325   -1.631823
    -2.158280    1.697139   -1.599943
    -2.506510    1.188363   -1.550314
    -2.739073    0.598935   -1.495670
    -2.864526   -0.106524   -1.371648
    -2.817169   -0.916491   -1.149727
    -2.423665   -1.853519   -0.888025
    -1.725808   -2.624832   -0.479705
     2.069126   -2.232695   -0.912173
     2.720481   -1.370062   -0.905641
     2.984346   -0.474123   -0.983441
     2.967428    0.296157   -1.097693
     2.802131    0.964917   -1.146852
     2.516363    1.542455   -1.177720
     2.129992    2.031147   -1.198268
     1.657517    2.423882   -1.214786
     1.126136    2.703154   -1.234118
     0.561275    2.864395   -1.256377
    -0.000718    2.912016   -1.272178
    -0.566815    2.872571   -1.235042
    -1.136735    2.698090   -1.235483
    -1.664604    2.412714   -1.227264
    -2.132107    2.021935   -1.210030
    -2.526275    1.534568   -1.166750
    -2.811861    0.960276   -1.126756
    -2.965692    0.313461   -1.097581
    -2.981315   -0.459350   -0.999514
    -2.717879   -1.378017   -0.901374
    -2.073084   -2.240994   -0.882350
     1.230164   -2.924675   -0.176757
     2.594222   -1.794521   -0.384678
     3.011909   -0.850351   -0.550983
     3.099442   -0.018444   -0.700991
     3.003079    0.726493   -0.742965
     2.756888    1.386995   -0.757685
     2.389901    1.948165   -0.768959
     1.912388    2.413392   -0.785227
     1.345880    2.764435   -0.802979
     0.708412    2.984296   -0.830904
    -0.007029    3.063210   -0.845557
